Serving HTTP on 0.0.0.0 port 3000 (http://0.0.0.0:3000/) ...
127.0.0.1 - - [29/Sep/2025 13:28:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Sep/2025 13:28:54] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [29/Sep/2025 13:28:54] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [29/Sep/2025 13:29:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Sep/2025 13:29:10] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [29/Sep/2025 13:29:10] "GET /script.js HTTP/1.1" 200 -
10.64.138.122 - - [29/Sep/2025 13:30:20] "GET / HTTP/1.1" 200 -
10.64.135.232 - - [29/Sep/2025 13:30:21] "GET / HTTP/1.1" 304 -
10.64.129.114 - - [29/Sep/2025 13:30:23] "GET / HTTP/1.1" 304 -
10.64.128.196 - - [29/Sep/2025 13:30:24] "GET / HTTP/1.1" 304 -
10.64.130.196 - - [29/Sep/2025 13:30:25] "GET / HTTP/1.1" 304 -
10.64.128.151 - - [29/Sep/2025 13:30:25] "GET /?x_request_source=preview HTTP/1.1" 200 -
10.64.128.196 - - [29/Sep/2025 13:30:25] "GET /style.css HTTP/1.1" 200 -
10.64.139.103 - - [29/Sep/2025 13:30:25] "GET /script.js HTTP/1.1" 200 -
